acceptance_rate,adaptive_policy,average_selected_k,device_type,draft_forward_calls,draft_k,draft_model,draft_overhead_ms,draft_tokens_accepted,draft_tokens_proposed,draft_tokens_rejected,dtype,error,exact_output_match_with_baseline,expected_entropy_level,generated_tokens,gpu_max_memory_allocated_bytes,gpu_memory_allocated_bytes,gpu_memory_allocated_mb,gpu_memory_reserved_bytes,gpu_memory_reserved_mb,gpu_name,latency_ms,max_selected_k,min_selected_k,mode,model_pair,output_length,prompt_id,prompt_type,repetition,schedule_type,slowdown_flag,speedup_vs_baseline,static_draft_k,temperature,time_to_first_token_ms,tokens_per_second,total_latency_ms,validation_level,verifier_calls_per_output_token,verifier_forward_calls,verifier_model,wasted_draft_tokens
0.0,,,cuda,0,,meta-llama/Llama-3.2-1B,,0,0,0,torch.bfloat16,,,medium,70,18599607296,18566756352,18566.756352,18763218944,18763.218944,NVIDIA GH200 480GB,4154.860382999914,,,baseline,meta-llama/Llama-3.2-1B->meta-llama/Llama-3.1-8B,70,code_001,code_completion,0,static,False,,,0.0,32.467540999959965,16.847738202326365,4154.860382999914,gpu_llama_full_static,1.0,70,meta-llama/Llama-3.1-8B,
0.8714285714285714,,,cuda,70,1,meta-llama/Llama-3.2-1B,2968.6410340002567,61,70,9,torch.bfloat16,,True,medium,70,18599607808,18566756352,18566.756352,18763218944,18763.218944,NVIDIA GH200 480GB,5149.209301000155,,,speculative,meta-llama/Llama-3.2-1B->meta-llama/Llama-3.1-8B,70,code_001,code_completion,0,static,True,0.8068928917286186,1,0.0,,13.594320197161837,5149.209301000155,gpu_llama_full_static,1.0,70,meta-llama/Llama-3.1-8B,
0.8026315789473685,,,cuda,76,2,meta-llama/Llama-3.2-1B,1116.3252949997968,61,76,9,torch.bfloat16,,True,medium,70,18599955968,18566756352,18566.756352,18763218944,18763.218944,NVIDIA GH200 480GB,2232.3472120001497,,,speculative,meta-llama/Llama-3.2-1B->meta-llama/Llama-3.1-8B,70,code_001,code_completion,0,static,False,1.8612070562612977,2,0.0,,31.357129224212862,2232.3472120001497,gpu_llama_full_static,0.5428571428571428,38,meta-llama/Llama-3.1-8B,
0.7093023255813954,,,cuda,86,4,meta-llama/Llama-3.2-1B,1259.9131639999541,61,86,9,torch.bfloat16,,True,medium,70,18600400896,18566756352,18566.756352,18763218944,18763.218944,NVIDIA GH200 480GB,1908.2231039999442,,,speculative,meta-llama/Llama-3.2-1B->meta-llama/Llama-3.1-8B,70,code_001,code_completion,0,static,False,2.1773451826941277,4,0.0,,36.68334161412713,1908.2231039999442,gpu_llama_full_static,0.3142857142857143,22,meta-llama/Llama-3.1-8B,
0.648936170212766,,,cuda,94,8,meta-llama/Llama-3.2-1B,1367.4511430003804,61,94,9,torch.bfloat16,,True,medium,70,18602008064,18566756352,18566.756352,18763218944,18763.218944,NVIDIA GH200 480GB,1724.9284649999481,,,speculative,meta-llama/Llama-3.2-1B->meta-llama/Llama-3.1-8B,70,code_001,code_completion,0,static,False,2.4087146031299556,8,0.0,,40.581393037653946,1724.9284649999481,gpu_llama_full_static,0.17142857142857143,12,meta-llama/Llama-3.1-8B,
0.0,,,cuda,0,,meta-llama/Llama-3.2-1B,,0,0,0,torch.bfloat16,,,medium,70,18602008064,18566756352,18566.756352,18763218944,18763.218944,NVIDIA GH200 480GB,2022.1684619998541,,,baseline,meta-llama/Llama-3.2-1B->meta-llama/Llama-3.1-8B,70,code_001,code_completion,1,static,False,,,0.0,30.253785000013522,34.61630488034238,2022.1684619998541,gpu_llama_full_static,1.0,70,meta-llama/Llama-3.1-8B,
0.8714285714285714,,,cuda,70,1,meta-llama/Llama-3.2-1B,1029.8936799995317,61,70,9,torch.bfloat16,,True,medium,70,18602008064,18566756352,18566.756352,18763218944,18763.218944,NVIDIA GH200 480GB,3069.0784200000962,,,speculative,meta-llama/Llama-3.2-1B->meta-llama/Llama-3.1-8B,70,code_001,code_completion,1,static,True,0.6588845852950836,1,0.0,,22.808149685532573,3069.0784200000962,gpu_llama_full_static,1.0,70,meta-llama/Llama-3.1-8B,
0.8026315789473685,,,cuda,76,2,meta-llama/Llama-3.2-1B,1113.9658699999018,61,76,9,torch.bfloat16,,True,medium,70,18602008064,18566756352,18566.756352,18763218944,18763.218944,NVIDIA GH200 480GB,2226.8508879999445,,,speculative,meta-llama/Llama-3.2-1B->meta-llama/Llama-3.1-8B,70,code_001,code_completion,1,static,True,0.9080843593510984,2,0.0,,31.434525040368012,2226.8508879999445,gpu_llama_full_static,0.5428571428571428,38,meta-llama/Llama-3.1-8B,
0.7093023255813954,,,cuda,86,4,meta-llama/Llama-3.2-1B,1266.6844500004117,61,86,9,torch.bfloat16,,True,medium,70,18602008064,18566756352,18566.756352,18763218944,18763.218944,NVIDIA GH200 480GB,1919.6243989999857,,,speculative,meta-llama/Llama-3.2-1B->meta-llama/Llama-3.1-8B,70,code_001,code_completion,1,static,False,1.0534188162295124,4,0.0,,36.465466909290164,1919.6243989999857,gpu_llama_full_static,0.3142857142857143,22,meta-llama/Llama-3.1-8B,
0.648936170212766,,,cuda,94,8,meta-llama/Llama-3.2-1B,1372.0608930000253,61,94,9,torch.bfloat16,,True,medium,70,18602008064,18566756352,18566.756352,18763218944,18763.218944,NVIDIA GH200 480GB,1732.4630549999256,,,speculative,meta-llama/Llama-3.2-1B->meta-llama/Llama-3.1-8B,70,code_001,code_completion,1,static,False,1.1672216940868276,8,0.0,,40.40490202545936,1732.4630549999256,gpu_llama_full_static,0.17142857142857143,12,meta-llama/Llama-3.1-8B,
